nombre,equipo,posicion,edad,nacionalidad,partidos_jugados,partidos_titular,minutos,goles,asistencias,tarjetas_amarillas,tarjetas_rojas
David Raya,Arsenal,Portero,30,Espana,38,38,3420,0,0,2,0
William Saliba,Arsenal,Defensa,24,Francia,33,33,2874,2,1,3,0
Gabriel Magalhaes,Arsenal,Defensa,28,Brasil,31,31,2662,5,1,6,0
Jurrien Timber,Arsenal,Defensa,24,Paises Bajos,32,30,2611,3,4,5,0
Riccardo Calafiori,Arsenal,Defensa,23,Italia,25,21,1911,2,2,4,0
Piero Hincapie,Arsenal,Defensa,24,Ecuador,22,14,1386,1,1,3,0
Declan Rice,Arsenal,Mediocampista,27,Inglaterra,37,37,3024,5,7,5,0
Martin Zubimendi,Arsenal,Mediocampista,26,Espana,36,34,2837,5,2,6,0
Martin Odegaard,Arsenal,Mediocampista,27,Noruega,26,21,1852,2,6,2,0
Eberechi Eze,Arsenal,Mediocampista,27,Inglaterra,35,25,2282,7,5,2,0
Mikel Merino,Arsenal,Mediocampista,29,Espana,25,12,1231,4,1,5,0
Bukayo Saka,Arsenal,Delantero,24,Inglaterra,33,30,2429,9,8,2,0
Gabriel Martinelli,Arsenal,Delantero,24,Brasil,31,13,1436,6,3,2,0
Leandro Trossard,Arsenal,Delantero,31,Belgica,34,22,1992,7,5,3,0
Viktor Gyokeres,Arsenal,Delantero,27,Suecia,35,31,2520,14,3,3,0
Emiliano Martinez,Aston Villa,Portero,33,Argentina,34,34,3060,0,0,5,0
Ezri Konsa,Aston Villa,Defensa,28,Inglaterra,35,35,3064,1,1,4,0
Pau Torres,Aston Villa,Defensa,28,Espana,28,26,2336,1,0,3,0
Matty Cash,Aston Villa,Defensa,28,Polonia,33,31,2748,3,3,7,0
Lucas Digne,Aston Villa,Defensa,32,Francia,30,26,2353,1,5,5,0
Ian Maatsen,Aston Villa,Defensa,23,Paises Bajos,24,12,1297,0,2,2,0
Victor Lindelof,Aston Villa,Defensa,31,Suecia,20,12,1182,0,0,2,0
Amadou Onana,Aston Villa,Mediocampista,24,Belgica,30,26,2247,3,1,6,0
